column,dtype,unique_values,sample_values
id,int64,93,"[1, 2, 3]"
city,object,15,"['上海市', '上海市', '上海市']"
district,object,34,"['松江区', '松江区', '松江区']"
drainage_company,object,36,"['上海城投亭南污水处理有限公司', '上海城投亭南污水处理有限公司', '上海城投亭南污水处理有限公司']"
wwtp_name,object,91,"['上海城投亭南污水处理有限公司泖港污水处理厂', '上海城投亭南污水处理有限公司叶榭污水处理厂', '上海城投亭南污水处理有限公司新浜污水处理厂']"
treatment_capacity_10k_m3_per_day,float64,45,"[0.4, 1.7, 1.2]"
annual_treatment_volume_10k_m3,float64,92,"[116.97, 610.56, 396.35]"
cod_influent_mg_l,float64,86,"[137.0, 149.0, 172.0]"
cod_effluent_mg_l,float64,80,"[18.0, 15.5, 18.1]"
bod5_influent_mg_l,float64,85,"[57.2, 61.1, 70.0]"
bod5_effluent_mg_l,float64,69,"[4.87, 4.53, 4.82]"
ss_influent_mg_l,float64,84,"[84.0, 89.0, 100.0]"
ss_effluent_mg_l,object,50,"['6.00 ', '6.00 ', '6.00 ']"
nh3n_influent_mg_l,float64,87,"[21.0, 17.4, 9.55]"
nh3n_effluent_mg_l,float64,45,"[0.11, 0.06, 0.13]"
tn_influent_mg_l,float64,88,"[28.0, 30.7, 18.6]"
tn_effluent_mg_l,float64,87,"[7.83, 8.6, 6.24]"
tp_influent_mg_l,float64,88,"[2.88, 3.35, 2.33]"
tp_effluent_mg_l,float64,25,"[0.39, 0.36, 0.16]"
annual_electricity_consumption_kwh,float64,92,"[853581.0, 2100402.0, 1431070.0]"
treatment_process,object,7,"['A2O_Family', 'Oxidation_Ditch', 'Oxidation_Ditch']"
advanced_processs,object,5,"['Membrane', 'Membrane', 'Filtration']"
disinfection_processs,object,4,"['Chlorine_Based', 'Chlorine_Based', 'Chlorine_Based']"
