feature,importance
treatment_capacity_10k_m3_per_day,0.21925470239935724
annual_treatment_volume_10k_m3,0.20665911722593602
tn_load_kg,0.19650009389061238
cod_load_kg,0.16451354437673374
tp_load_kg,0.07612078407941479
nh3n_effluent_mg_l,0.021057243286600264
tp_removal_mg_l,0.012928863219261854
nh3n_removal_rate,0.011491824672110863
cod_influent_mg_l,0.007887523737915628
cod_effluent_mg_l,0.007761279721866519
tp_effluent_mg_l,0.007163531847461687
ss_removal_rate,0.007158342498434773
bod5_removal_mg_l,0.00684530851675672
tp_influent_mg_l,0.0064807784091722815
bod5_influent_mg_l,0.004505859470112939
bod5_removal_rate,0.003948144894647672
nh3n_removal_mg_l,0.0034739842777978466
bod5_effluent_mg_l,0.003366116824530558
tn_removal_rate,0.0030851036819636636
nh3n_influent_mg_l,0.0027325084772466513
cod_removal_mg_l,0.0026332244791078757
load_rate,0.0025294470125044382
tn_effluent_mg_l,0.0023796620488559456
avg_removal_rate,0.0023358467120571883
cod_removal_rate,0.002104398430921538
energy_per_volume,0.002000723311730996
tn_influent_mg_l,0.0016472689109098668
ss_removal_mg_l,0.0016205066288067765
tp_removal_rate,0.0015665186415277316
tn_removal_mg_l,0.0014488928375233049
treatment_process_A2O_Family,0.0013547992266658068
advanced_processs_Combined,0.0013411900531720992
disinfection_processs_Chlorine_Based,0.0010486969857152917
disinfection_processs_UV,0.0008380415855190652
disinfection_processs_Other,0.0005562404565647426
ss_influent_mg_l,0.00046579767654975437
advanced_processs_Membrane,0.00043245049449232114
ss_effluent_mg_l,0.0004260631521393711
treatment_process_Other,0.00014644882278502385
advanced_processs_Filtration,0.00010457822156880334
advanced_processs_Other,4.9864779347213354e-05
treatment_process_Oxidation_Ditch,1.5431974384687887e-05
treatment_process_Unknown,1.0835574339960137e-05
disinfection_processs_Combined,2.9331194057713996e-06
advanced_processs_Unknown,1.9183943071841584e-06
treatment_process_MBR,1.8225132775169028e-06
treatment_process_AO_Family,1.0943138106658828e-06
treatment_process_SBR_Family,5.958620933288931e-07
advanced_processs_Sedimentation,4.9431518220798164e-08
treatment_process_Biofilm,2.8404634367183896e-09
advanced_processs_nan,0.0
treatment_process_nan,0.0
disinfection_processs_Unknown,0.0
disinfection_processs_nan,0.0
